cLogP,cLogS,Smiles
2.8059,-2.443,CSc1nsc(NC(c2cc(Br)cnc2)=O)n1
4.0848,-4.537,C[C@@H](CCC[C@@H]1C)N1C(c1cc(NC(c(cc2OC)cc(OC)c2OC)=O)ccc1)=O
2.397,-1.989,CCOC(N(CC1)CCN1S(c(s1)ccc1Br)(=O)=O)=O
2.7628,-3.782,O=S(c1cccs1)(Nc1ccc(Cc2ccncc2)cc1)=O
0.035,-1.406,COc(ccc(S(N(CCC1)[C@@H]1C(N)=O)(=O)=O)c1)c1OC
3.6354,-4.641,CC(C)(Cc1c2sc(NC(c(cc3)cc(OC)c3OC)=O)n1)CC2=O
2.4038,-5.051,N#Cc(cccc1)c1Sc(cccc1)c1C(N[C@@H](CS(C1)(=O)=O)[C@@H]1Cl)=O
4.0789,-4.267,Cc(cc(cc1)Cl)c1OCCNS(c(s1)ccc1Br)(=O)=O
1.791,-2.845,CS(NCc(cc1)ccc1C(N1CCCCC1)=O)(=O)=O
2.4391,-3.173,Cc(cccc1)c1NC([C@H](CCC1)N1S(c(cc1)cc(OC)c1OC)(=O)=O)=O
2.7489,-4.401,CC(c1cccc(NS(c(s2)ccc2Br)(=O)=O)c1)=O
2.7377,-3.753,COc(ccc(NS(c(s1)ccc1Br)(=O)=O)c1)c1OC
3.686,-3.785,O=C(CSc1nccn1Cc1ccccc1)c(cc1)ccc1Cl
2.3352,-3.598,Cc(cc1)ccc1S(N([C@@H](CC1)C(NCCOc(cc2)ccc2Cl)=O)C1=O)(=O)=O
1.7292,-2.862,Cc(cc1)ccc1S(N([C@@H](CC1)C(NCCOc2ccccc2)=O)C1=O)(=O)=O
1.7037,-2.206,Cc(cc1)ccc1S(N([C@@H](CC1)C(N2CCCCC2)=O)C1=O)(=O)=O
2.1815,-2.797,CC(C)NS(c(s1)ccc1I)(=O)=O
3.6115,-5.177,COC([C@H](c1ccccc1)NC(c(cccc1)c1Sc(cccc1)c1C#N)=O)=O
2.5861,-5.766,O=S(Cc(cccc1)c1Cl)(Nc(cc1)ncc1I)=O
2.0636,-3.983,Cc1c(C(C(NCc2ccccc2)=O)=O)c(cccc2)c2[nH]1
1.7501,-3.311,COCc(cc(c(OC)c1)OC)c1NS(c(cc1)ccc1F)(=O)=O
3.072,-4.098,COc(ccc(/C=C/C(Nc(cc1)ncc1Br)=O)c1)c1OC
2.903,-5.904,CCN(c(ccc(S(Nc(cc(C)cc1C)c1C#N)(=O)=O)c1)c1N1CC)C1=O
1.1734,-1.757,CN(C)S(c(cc1)ccc1C(N[C@H](C(OC)=O)c1ccccc1)=O)(=O)=O
1.7422,-2.48,COC([C@H](c1ccccc1)NS(c(cc1)ccc1F)(=O)=O)=O
2.3625,-5.08,COc(ccc(/C=C/C(Nc(cc1)cc(CC2)c1N2S(C)(=O)=O)=O)c1)c1OC
4.0535,-4.919,O=C(Cc(cc1)ccc1F)Nc(cccc1)c1C(Nc1ccccc1)=O
1.3306,-1.76,C[C@@H](C1)O[C@@H](C)CN1S(c(cc1)cc2c1OCCO2)(=O)=O
4.5826,-6.151,Cc1cccc(C)c1NC(c(cc(cc1)S(Nc2c(C)cccc2C)(=O)=O)c1F)=O
3.1233,-4.123,O=C(NCCOc(cccc1)c1Cl)Nc1ccccc1
3.9837,-4.917,CCc(cc1)cc(CCC2)c1N2S(c(cc1)ccc1Cl)(=O)=O
0.919,-1.661,COc(ccc(S(NC1CC1)(=O)=O)c1)c1C(N1CCOCC1)=O
2.0847,-2.356,Cc(cc1)ccc1C(N1CCSCC1)=O
3.3578,-5.035,CC(NCCc(cc1)ccc1S(Nc(ccc(Cl)c1C)c1Cl)(=O)=O)=O
2.2666,-2.954,CCc(cc1)ccc1S(/N=C1\NC(C)=CC=C1)(=O)=O
3.1638,-4.358,CCc(cc1)ccc1NC(c(cccc1)c1NC([C@H]1OCCC1)=O)=O
2.26,-2.348,C=CCNS(c(s1)ccc1Cl)(=O)=O
2.3199,-3.878,CCC(CC)NC(C(c1c(C)[nH]c2c1cccc2)=O)=O
1.9874,-2.53,CN(C)C([C@H](CCC1)N1S(c1cc2ccccc2cc1)(=O)=O)=O
4.6815,-6.64,CCCCSc(cc1)ccc1NS(Cc(cccc1)c1Cl)(=O)=O
3.6371,-4.347,Cc(cc(cc1)Cl)c1OCCNS(c(cc1)ccc1SC)(=O)=O
